CustomerID,FirstName,LastName,Email,Phone,Address,City,State,Zipcode
1000,John,Doe,user1000@example.com,(707)792-6397,123 Main St,CityA,CA,91398
1001,Jane,Smith,user1001@example.com,(563)576-4292,456 Maple Ave,CityB,NY,39493
1002,Alice,Johnson,user1002@example.com,(789)235-9922,789 Oak Dr,CityC,TX,75086
1003,Bob,Williams,user1003@example.com,(404)290-4619,101 Pine Ln,CityD,FL,71496
1004,Charlie,Brown,user1004@example.com,(491)958-5547,202 Birch Blvd,CityE,WA,43305
1005,John,Doe,user1005@example.com,(764)814-7516,123 Main St,CityA,CA,53271
1006,Jane,Smith,user1006@example.com,(227)362-1641,456 Maple Ave,CityB,NY,89034
1007,Alice,Johnson,user1007@example.com,(411)847-9031,789 Oak Dr,CityC,TX,74079
1008,Bob,Williams,user1008@example.com,(963)938-9219,101 Pine Ln,CityD,FL,16498
1009,Charlie,Brown,user1009@example.com,(868)404-9014,202 Birch Blvd,CityE,WA,28941
1010,John,Doe,user1010@example.com,(773)742-7080,123 Main St,CityA,CA,50073
1011,Jane,Smith,user1011@example.com,(531)751-6912,456 Maple Ave,CityB,NY,62962
1012,Alice,Johnson,user1012@example.com,(563)672-7277,789 Oak Dr,CityC,TX,62090
1013,Bob,Williams,user1013@example.com,(553)659-2938,101 Pine Ln,CityD,FL,85229
1014,Charlie,Brown,user1014@example.com,(997)930-1846,202 Birch Blvd,CityE,WA,79543
1015,John,Doe,user1015@example.com,(313)531-2986,123 Main St,CityA,CA,49241
1016,Jane,Smith,user1016@example.com,(723)668-5843,456 Maple Ave,CityB,NY,92516
1017,Alice,Johnson,user1017@example.com,(963)965-1229,789 Oak Dr,CityC,TX,13070
1018,Bob,Williams,user1018@example.com,(411)476-6063,101 Pine Ln,CityD,FL,17142
1019,Charlie,Brown,user1019@example.com,(620)368-5509,202 Birch Blvd,CityE,WA,89401
1020,John,Doe,user1020@example.com,(253)561-9962,123 Main St,CityA,CA,46476
1021,Jane,Smith,user1021@example.com,(231)994-7556,456 Maple Ave,CityB,NY,40059
1022,Alice,Johnson,user1022@example.com,(852)618-1197,789 Oak Dr,CityC,TX,92502
1023,Bob,Williams,user1023@example.com,(715)942-6748,101 Pine Ln,CityD,FL,19299
1024,Charlie,Brown,user1024@example.com,(762)527-1658,202 Birch Blvd,CityE,WA,16482
1025,John,Doe,user1025@example.com,(481)510-6021,123 Main St,CityA,CA,32611
1026,Jane,Smith,user1026@example.com,(929)516-3355,456 Maple Ave,CityB,NY,24798
1027,Alice,Johnson,user1027@example.com,(495)431-9706,789 Oak Dr,CityC,TX,95574
1028,Bob,Williams,user1028@example.com,(236)812-5277,101 Pine Ln,CityD,FL,18040
1029,Charlie,Brown,user1029@example.com,(668)543-3829,202 Birch Blvd,CityE,WA,45015
1030,John,Doe,user1030@example.com,(470)630-1638,123 Main St,CityA,CA,62215
1031,Jane,Smith,user1031@example.com,(742)386-4202,456 Maple Ave,CityB,NY,91629
1032,Alice,Johnson,user1032@example.com,(654)923-2858,789 Oak Dr,CityC,TX,57081
1033,Bob,Williams,user1033@example.com,(313)558-8888,101 Pine Ln,CityD,FL,48877
1034,Charlie,Brown,user1034@example.com,(617)366-5780,202 Birch Blvd,CityE,WA,50602
1035,John,Doe,user1035@example.com,(375)478-5220,123 Main St,CityA,CA,70912
1036,Jane,Smith,user1036@example.com,(745)590-8142,456 Maple Ave,CityB,NY,71389
1037,Alice,Johnson,user1037@example.com,(204)255-5546,789 Oak Dr,CityC,TX,51985
1038,Bob,Williams,user1038@example.com,(893)926-1611,101 Pine Ln,CityD,FL,43988
1039,Charlie,Brown,user1039@example.com,(458)844-7020,202 Birch Blvd,CityE,WA,42118
1040,John,Doe,user1040@example.com,(267)980-4363,123 Main St,CityA,CA,85889
1041,Jane,Smith,user1041@example.com,(462)813-6423,456 Maple Ave,CityB,NY,59334
1042,Alice,Johnson,user1042@example.com,(230)817-4114,789 Oak Dr,CityC,TX,44793
1043,Bob,Williams,user1043@example.com,(585)634-5626,101 Pine Ln,CityD,FL,16318
1044,Charlie,Brown,user1044@example.com,(952)768-5558,202 Birch Blvd,CityE,WA,15029
1045,John,Doe,user1045@example.com,(730)946-5060,123 Main St,CityA,CA,17111
1046,Jane,Smith,user1046@example.com,(975)718-7990,456 Maple Ave,CityB,NY,81616
1047,Alice,Johnson,user1047@example.com,(812)242-4287,789 Oak Dr,CityC,TX,13734
1048,Bob,Williams,user1048@example.com,(575)856-7471,101 Pine Ln,CityD,FL,80612
1049,Charlie,Brown,user1049@example.com,(860)656-5793,202 Birch Blvd,CityE,WA,49468
1050,John,Doe,user1050@example.com,(330)302-1645,123 Main St,CityA,CA,92887
1051,Jane,Smith,user1051@example.com,(321)928-9721,456 Maple Ave,CityB,NY,13801
1052,Alice,Johnson,user1052@example.com,(429)506-7099,789 Oak Dr,CityC,TX,33084
1053,Bob,Williams,user1053@example.com,(465)771-7690,101 Pine Ln,CityD,FL,44401
1054,Charlie,Brown,user1054@example.com,(614)884-2668,202 Birch Blvd,CityE,WA,55982
1055,John,Doe,user1055@example.com,(421)608-3656,123 Main St,CityA,CA,54427
1056,Jane,Smith,user1056@example.com,(571)981-8878,456 Maple Ave,CityB,NY,32376
1057,Alice,Johnson,user1057@example.com,(863)984-8188,789 Oak Dr,CityC,TX,96216
1058,Bob,Williams,user1058@example.com,(953)706-1142,101 Pine Ln,CityD,FL,69506
1059,Charlie,Brown,user1059@example.com,(317)723-8822,202 Birch Blvd,CityE,WA,97876
1060,John,Doe,user1060@example.com,(223)386-2763,123 Main St,CityA,CA,96253
1061,Jane,Smith,user1061@example.com,(785)848-8419,456 Maple Ave,CityB,NY,27862
1062,Alice,Johnson,user1062@example.com,(259)487-4946,789 Oak Dr,CityC,TX,65138
1063,Bob,Williams,user1063@example.com,(263)470-4296,101 Pine Ln,CityD,FL,40574
1064,Charlie,Brown,user1064@example.com,(660)258-5713,202 Birch Blvd,CityE,WA,52291
1065,John,Doe,user1065@example.com,(355)917-9077,123 Main St,CityA,CA,44230
1066,Jane,Smith,user1066@example.com,(761)536-4975,456 Maple Ave,CityB,NY,60579
1067,Alice,Johnson,user1067@example.com,(691)683-8071,789 Oak Dr,CityC,TX,64720
1068,Bob,Williams,user1068@example.com,(321)627-4483,101 Pine Ln,CityD,FL,35490
1069,Charlie,Brown,user1069@example.com,(229)577-9712,202 Birch Blvd,CityE,WA,53116
1070,John,Doe,user1070@example.com,(654)760-6611,123 Main St,CityA,CA,28076
1071,Jane,Smith,user1071@example.com,(393)629-1396,456 Maple Ave,CityB,NY,84880
1072,Alice,Johnson,user1072@example.com,(558)504-7087,789 Oak Dr,CityC,TX,64090
1073,Bob,Williams,user1073@example.com,(336)308-3136,101 Pine Ln,CityD,FL,29501
1074,Charlie,Brown,user1074@example.com,(882)862-9469,202 Birch Blvd,CityE,WA,18579
1075,John,Doe,user1075@example.com,(937)942-9103,123 Main St,CityA,CA,22695
